Symbol,LTP,Percentage_Change,High,Low,Open,Quantity
ACLBSL,536.0,0.19,545.0,527.1,545.0,447
ADBL,250.3,-0.67,255.0,248.0,250.0,19245
AHL,346.1,6.17,355.6,326.0,332.5,13417
AHPC,214.0,0.94,220.2,209.1,209.1,31198
AKJCL,156.0,2.5,157.3,151.0,154.0,13566
AKPL,177.8,1.02,183.0,173.1,173.1,41199
ALBSL,665.0,0.59,673.0,650.0,660.0,725
ALICL,635.2,-0.75,652.8,633.0,652.8,8170
ANLB,1921.0,0.05,1950.0,1905.3,1906.0,445
API,172.8,-0.06,175.0,171.0,175.0,48813
AVYAN,607.1,-0.15,620.1,605.1,620.1,630
BARUN,218.7,1.72,223.6,215.8,218.9,10022
BBC,3720.0,-0.27,3720.0,3595.0,3665.0,415
BEDC,209.0,-0.95,217.2,206.0,206.8,6959
BFC,303.1,0.93,307.0,303.0,303.0,1330
BHDC,340.0,-1.45,348.0,331.5,338.1,1725
BHL,226.0,0.58,226.0,218.0,220.3,2490
BHPL,452.0,-1.31,467.0,445.1,452.1,2152
BNHC,338.1,-3.4,357.0,338.1,350.0,3340
BNT,12985.0,-2.0,13000.0,12985.0,13000.0,20
BOKD86,790.0,-1.25,800.0,790.0,800.0,75
BPCL,298.0,0.68,300.0,294.3,296.0,5951
BPW,930.0,-3.23,952.9,930.0,951.0,538
C30MF,8.0,0.0,8.15,7.91,8.1,600
CBBL,917.0,-0.43,935.0,916.0,925.0,12454
CBLD88,891.0,-1.87,891.0,891.0,891.0,25
CCBD88,887.0,2.07,887.0,870.3,870.3,30
CFCL,313.1,0.38,327.0,313.0,316.9,8534
CGH,1090.0,0.93,1097.5,1081.0,1088.0,1544
CHCL,467.5,0.32,478.0,466.0,466.0,9071
CHDC,980.0,0.51,993.6,964.2,964.2,3080
CHL,217.7,1.63,217.9,205.8,215.9,14477
CIT,1890.1,0.27,1900.0,1885.4,1890.0,4674
CITY,643.5,10.0,643.5,583.0,584.0,6976
